Puzzle,Model,Time,Correct
...........2....4....9.2.51.........8..754.....4...368.............7.18.9182.6..7,Constraint Programming Solver,13.7067ms,true
...........2....4....9.2.51.........8..754.....4...368.............7.18.9182.6..7,"Stochastic (T=10000, cooling=0.999)",5.0931906s,true
...........2....5...834.69...........39..5....8..7..34...........6832..754..613..,Brute Force Solver,167.7756ms,true
...........2....5...834.69...........39..5....8..7..34...........6832..754..613..,Rule Based Solver,5.7632ms,true
...........2....5...834.69...........39..5....8..7..34...........6832..754..613..,Constraint Programming Solver,14.2646ms,true
...........2....5...834.69...........39..5....8..7..34...........6832..754..613..,"Stochastic (T=10000, cooling=0.999)",9.1171241s,true
...........2....8..4.1.2.......5.....9...84..186.9.3........9..9..475..35.7.8.2..,Brute Force Solver,545.6989987s,true
...........2....8..4.1.2.......5.....9...84..186.9.3........9..9..475..35.7.8.2..,Rule Based Solver,4.4228ms,true
...........2....8..4.1.2.......5.....9...84..186.9.3........9..9..475..35.7.8.2..,Constraint Programming Solver,41.232ms,true
...........2....8..4.1.2.......5.....9...84..186.9.3........9..9..475..35.7.8.2..,"Stochastic (T=10000, cooling=0.999)",6.4733239s,true
...........2....9..5.976.32.............2...582..31.69...........1.8.5.74.67....1,Brute Force Solver,456.0733094s,true
...........2....9..5.976.32.............2...582..31.69...........1.8.5.74.67....1,Rule Based Solver,2.4807ms,true
...........2....9..5.976.32.............2...582..31.69...........1.8.5.74.67....1,Constraint Programming Solver,24.7759ms,true
...........2....9..5.976.32.............2...582..31.69...........1.8.5.74.67....1,"Stochastic (T=10000, cooling=0.999)",3.1016255s,true
...........2..36.84....6.21.........925.....7..6317.............6.49.....7..8.492,Brute Force Solver,143.2973ms,true
...........2..36.84....6.21.........925.....7..6317.............6.49.....7..8.492,Rule Based Solver,4.2647ms,true
...........2..36.84....6.21.........925.....7..6317.............6.49.....7..8.492,Constraint Programming Solver,14.8279ms,true
...........2..36.84....6.21.........925.....7..6317.............6.49.....7..8.492,"Stochastic (T=10000, cooling=0.999)",9.0618886s,true
...........2.5....5...4.1.6.......8.7.8...32...456...9..1..2...39.....72...8.6...,Brute Force Solver,152.0341ms,true
...........2.5....5...4.1.6.......8.7.8...32...456...9..1..2...39.....72...8.6...,Rule Based Solver,2.4983ms,true
...........2.5....5...4.1.6.......8.7.8...32...456...9..1..2...39.....72...8.6...,Constraint Programming Solver,14.2658ms,true
...........2.5....5...4.1.6.......8.7.8...32...456...9..1..2...39.....72...8.6...,"Stochastic (T=10000, cooling=0.999)",7.5369714s,true
...........2.8...376.2.4.9..............5.1.7.7.3...29..............1.4.93.7.2861,Brute Force Solver,2.0071694s,true
...........2.8...376.2.4.9..............5.1.7.7.3...29..............1.4.93.7.2861,Rule Based Solver,4.3907ms,true
...........2.8...376.2.4.9..............5.1.7.7.3...29..............1.4.93.7.2861,Constraint Programming Solver,25.1533ms,true
...........2.8...376.2.4.9..............5.1.7.7.3...29..............1.4.93.7.2861,"Stochastic (T=10000, cooling=0.999)",7.2850879s,true
...........2.8...6..346..92.9............5..724...796................3.84695...2.,Brute Force Solver,148.5088ms,true
...........2.8...6..346..92.9............5..724...796................3.84695...2.,Rule Based Solver,2.5184ms,true
...........2.8...6..346..92.9............5..724...796................3.84695...2.,Constraint Programming Solver,13.8307ms,true
...........2.8...6..346..92.9............5..724...796................3.84695...2.,"Stochastic (T=10000, cooling=0.999)",3.1293301s,true
...........21..5..4..7.8.1....27..9663............9..8..4...85.29.......1.3..2..4,Brute Force Solver,140.6408ms,true
...........21..5..4..7.8.1....27..9663............9..8..4...85.29.......1.3..2..4,Rule Based Solver,2.5773ms,true
...........21..5..4..7.8.1....27..9663............9..8..4...85.29.......1.3..2..4,Constraint Programming Solver,13.6834ms,true
...........21..5..4..7.8.1....27..9663............9..8..4...85.29.......1.3..2..4,"Stochastic (T=10000, cooling=0.999)",2.8055957s,true
...........25.8..768.3..5..2.8..........34.......7...9....8.7....72..61..3..598..,Brute Force Solver,69.1590266s,true
...........25.8..768.3..5..2.8..........34.......7...9....8.7....72..61..3..598..,Rule Based Solver,2.5142ms,true
...........25.8..768.3..5..2.8..........34.......7...9....8.7....72..61..3..598..,Constraint Programming Solver,34.5862ms,true
...........25.8..768.3..5..2.8..........34.......7...9....8.7....72..61..3..598..,"Stochastic (T=10000, cooling=0.999)",2.5925818s,true
...........27.8...4...23.8..45......8.......9.1..59.2...68.........1...3.3...7961,Brute Force Solver,144.5074ms,true
...........27.8...4...23.8..45......8.......9.1..59.2...68.........1...3.3...7961,Rule Based Solver,2.4979ms,true
...........27.8...4...23.8..45......8.......9.1..59.2...68.........1...3.3...7961,Constraint Programming Solver,14.0539ms,true
...........27.8...4...23.8..45......8.......9.1..59.2...68.........1...3.3...7961,"Stochastic (T=10000, cooling=0.999)",2.9939474s,true
...........3...852.15.37..9..........7.19.4...38...1..........1...9.8...56..43.8.,Brute Force Solver,146.6926ms,true
...........3...852.15.37..9..........7.19.4...38...1..........1...9.8...56..43.8.,Rule Based Solver,2.5637ms,true
...........3...852.15.37..9..........7.19.4...38...1..........1...9.8...56..43.8.,Constraint Programming Solver,13.9179ms,true
...........3...852.15.37..9..........7.19.4...38...1..........1...9.8...56..43.8.,"Stochastic (T=10000, cooling=0.999)",2.7385221s,true
...........3..2..7...756..2..........4.5....1.678.4.2..............3.8.9972....46,Brute Force Solver,145.4196ms,true
...........3..2..7...756..2..........4.5....1.678.4.2..............3.8.9972....46,Rule Based Solver,4.7764ms,true
...........3..2..7...756..2..........4.5....1.678.4.2..............3.8.9972....46,Constraint Programming Solver,15.0561ms,true
...........3..2..7...756..2..........4.5....1.678.4.2..............3.8.9972....46,"Stochastic (T=10000, cooling=0.999)",4.5675464s,true
...........3.1..58.7.6..4.........75..1..5..69.7....84.8........6.4......357..69.,Brute Force Solver,142.5333ms,true
...........3.1..58.7.6..4.........75..1..5..69.7....84.8........6.4......357..69.,Rule Based Solver,4.6704ms,true
...........3.1..58.7.6..4.........75..1..5..69.7....84.8........6.4......357..69.,Constraint Programming Solver,14.6359ms,true
...........3.1..58.7.6..4.........75..1..5..69.7....84.8........6.4......357..69.,"Stochastic (T=10000, cooling=0.999)",3.8138002s,true
...........32....1.8....96......9.4...8...7.....1.4..5...........9...87451.4.7..6,Brute Force Solver,151.5525ms,true
...........32....1.8....96......9.4...8...7.....1.4..5...........9...87451.4.7..6,Rule Based Solver,2.4853ms,true
...........32....1.8....96......9.4...8...7.....1.4..5...........9...87451.4.7..6,Constraint Programming Solver,13.8306ms,true
...........32....1.8....96......9.4...8...7.....1.4..5...........9...87451.4.7..6,"Stochastic (T=10000, cooling=0.999)",5.8617357s,true
...........4....3.7..3.6.2...5.2.41..........2.7.1..95.485..6.1..1....8..5.8.....,Brute Force Solver,144.4237ms,true
...........4....3.7..3.6.2...5.2.41..........2.7.1..95.485..6.1..1....8..5.8.....,Rule Based Solver,2.7404ms,true
...........4....3.7..3.6.2...5.2.41..........2.7.1..95.485..6.1..1....8..5.8.....,Constraint Programming Solver,13.8595ms,true
...........4....3.7..3.6.2...5.2.41..........2.7.1..95.485..6.1..1....8..5.8.....,"Stochastic (T=10000, cooling=0.999)",3.9332452s,true
...........4...51..867....4....12.4..35.4.9.8........7..28.3....4........6.....9.,Brute Force Solver,149.531ms,true
...........4...51..867....4....12.4..35.4.9.8........7..28.3....4........6.....9.,Rule Based Solver,2.4708ms,true
...........4...51..867....4....12.4..35.4.9.8........7..28.3....4........6.....9.,Constraint Programming Solver,14.0301ms,true
...........4...51..867....4....12.4..35.4.9.8........7..28.3....4........6.....9.,"Stochastic (T=10000, cooling=0.999)",4.5422154s,true
...........4..3....2.91.4.6............32..1.95.....32.1...5..7..7....53..6.4....,Brute Force Solver,151.3416ms,true
...........4..3....2.91.4.6............32..1.95.....32.1...5..7..7....53..6.4....,Rule Based Solver,2.5262ms,true
...........4..3....2.91.4.6............32..1.95.....32.1...5..7..7....53..6.4....,Constraint Programming Solver,13.9601ms,true
...........4..3....2.91.4.6............32..1.95.....32.1...5..7..7....53..6.4....,"Stochastic (T=10000, cooling=0.999)",3.4493478s,true
...........4..8..6....5.24.............5...7....1.6592..9.4....2....16...463.271.,Brute Force Solver,145.1726ms,true
...........4..8..6....5.24.............5...7....1.6592..9.4....2....16...463.271.,Rule Based Solver,2.4851ms,true
...........4..8..6....5.24.............5...7....1.6592..9.4....2....16...463.271.,Constraint Programming Solver,13.7906ms,true
...........4..8..6....5.24.............5...7....1.6592..9.4....2....16...463.271.,"Stochastic (T=10000, cooling=0.999)",6.0967465s,true
...........4..9.86..98..57......4.....85.....4....2.95........2..6.27.49.3..4.1..,Brute Force Solver,302.9778ms,true
...........4..9.86..98..57......4.....85.....4....2.95........2..6.27.49.3..4.1..,Rule Based Solver,4.9381ms,true
...........4..9.86..98..57......4.....85.....4....2.95........2..6.27.49.3..4.1..,Constraint Programming Solver,22.8813ms,true
...........4..9.86..98..57......4.....85.....4....2.95........2..6.27.49.3..4.1..,"Stochastic (T=10000, cooling=0.999)",3.1999934s,true
...........4.3..........578..1..........9.35..7.2.56.1.4...3.8......71.3.92.84...,Brute Force Solver,143.9729ms,true
...........4.3..........578..1..........9.35..7.2.56.1.4...3.8......71.3.92.84...,Rule Based Solver,4.5937ms,true
...........4.3..........578..1..........9.35..7.2.56.1.4...3.8......71.3.92.84...,Constraint Programming Solver,14.9838ms,true
...........4.3..........578..1..........9.35..7.2.56.1.4...3.8......71.3.92.84...,"Stochastic (T=10000, cooling=0.999)",6.5073743s,true
...........4.51.62.1.963........2.....9.8..2.73.5......6.........7....5.....148.3,Brute Force Solver,147.4308ms,true
...........4.51.62.1.963........2.....9.8..2.73.5......6.........7....5.....148.3,Rule Based Solver,2.645ms,true
...........4.51.62.1.963........2.....9.8..2.73.5......6.........7....5.....148.3,Constraint Programming Solver,14.5474ms,true
...........4.51.62.1.963........2.....9.8..2.73.5......6.........7....5.....148.3,"Stochastic (T=10000, cooling=0.999)",3.5794233s,true
...........4.7..8..7.25.3.............91.2...8.5..62.3..........37.4...9916....35,Brute Force Solver,143.8564ms,true
...........4.7..8..7.25.3.............91.2...8.5..62.3..........37.4...9916....35,Rule Based Solver,3.6846ms,true
...........4.7..8..7.25.3.............91.2...8.5..62.3..........37.4...9916....35,Constraint Programming Solver,14.7645ms,true
...........4.7..8..7.25.3.............91.2...8.5..62.3..........37.4...9916....35,"Stochastic (T=10000, cooling=0.999)",2.7993453s,true
...........45....9..8.2.....23..8....7..9..1..5...14.........34.15..69.......5.7.,Brute Force Solver,149.236ms,true
...........45....9..8.2.....23..8....7..9..1..5...14.........34.15..69.......5.7.,Rule Based Solver,2.5067ms,true
...........45....9..8.2.....23..8....7..9..1..5...14.........34.15..69.......5.7.,Constraint Programming Solver,15.3971ms,true
...........45....9..8.2.....23..8....7..9..1..5...14.........34.15..69.......5.7.,"Stochastic (T=10000, cooling=0.999)",2.1608715s,true
...........45...7..76.8...5.........1...68....29..47.........96.8.2......57.9..43,Brute Force Solver,150.4642ms,true
...........45...7..76.8...5.........1...68....29..47.........96.8.2......57.9..43,Rule Based Solver,2.511ms,true
...........45...7..76.8...5.........1...68....29..47.........96.8.2......57.9..43,Constraint Programming Solver,13.9034ms,true
...........45...7..76.8...5.........1...68....29..47.........96.8.2......57.9..43,"Stochastic (T=10000, cooling=0.999)",2.5864299s,true
...........48....2.7891...........5......47..3....5628.............5.479.82.9...1,Brute Force Solver,9.4422276s,true
...........48....2.7891...........5......47..3....5628.............5.479.82.9...1,Rule Based Solver,2.5146ms,true
...........48....2.7891...........5......47..3....5628.............5.479.82.9...1,Constraint Programming Solver,25.7567ms,true
...........48....2.7891...........5......47..3....5628.............5.479.82.9...1,"Stochastic (T=10000, cooling=0.999)",2.7420395s,true
...........5....144.23...97.5........63..24...8..63.5......7.......8.....3..96.85,Brute Force Solver,154.1321ms,true
...........5....144.23...97.5........63..24...8..63.5......7.......8.....3..96.85,Rule Based Solver,2.5705ms,true
...........5....144.23...97.5........63..24...8..63.5......7.......8.....3..96.85,Constraint Programming Solver,14.3402ms,true
...........5....144.23...97.5........63..24...8..63.5......7.......8.....3..96.85,"Stochastic (T=10000, cooling=0.999)",7.3281025s,true
...........5..1.944.368.15...73..245....4....342..56...61..45.295.2..4...........,Brute Force Solver,130.0303ms,true
...........5..1.944.368.15...73..245....4....342..56...61..45.295.2..4...........,Rule Based Solver,2.5176ms,true
...........5..1.944.368.15...73..245....4....342..56...61..45.295.2..4...........,Constraint Programming Solver,14.6207ms,true
...........5..1.944.368.15...73..245....4....342..56...61..45.295.2..4...........,"Stochastic (T=10000, cooling=0.999)",4.5992553s,true
...........5.1...68.1.7.4...5.2...........87.4....916..........7......931.352..8.,Brute Force Solver,146.3201ms,true
...........5.1...68.1.7.4...5.2...........87.4....916..........7......931.352..8.,Rule Based Solver,2.4745ms,true
...........5.1...68.1.7.4...5.2...........87.4....916..........7......931.352..8.,Constraint Programming Solver,14.7198ms,true
...........5.1...68.1.7.4...5.2...........87.4....916..........7......931.352..8.,"Stochastic (T=10000, cooling=0.999)",2.5701715s,true
...........5.34.7.2...59..8..9..3..5.83.6.......1...2...........3..8...4..2..6153,Brute Force Solver,682.0809568s,true
...........5.34.7.2...59..8..9..3..5.83.6.......1...2...........3..8...4..2..6153,Rule Based Solver,4.5067ms,true
...........5.34.7.2...59..8..9..3..5.83.6.......1...2...........3..8...4..2..6153,Constraint Programming Solver,39.8064ms,true
...........5.34.7.2...59..8..9..3..5.83.6.......1...2...........3..8...4..2..6153,"Stochastic (T=10000, cooling=0.999)",2.4402639s,true
...........52..1.7.14....56.9.......8....6.3...2.75.9..81.........4.1........724.,Brute Force Solver,4.0703994s,true
...........52..1.7.14....56.9.......8....6.3...2.75.9..81.........4.1........724.,Rule Based Solver,2.6567ms,true
...........52..1.7.14....56.9.......8....6.3...2.75.9..81.........4.1........724.,Constraint Programming Solver,27.7582ms,true
...........52..1.7.14....56.9.......8....6.3...2.75.9..81.........4.1........724.,"Stochastic (T=10000, cooling=0.999)",5.8955608s,true
...........58..9...83..1.65..7..........6..13432.1...9.....8....5..2..3....6.54..,Brute Force Solver,150.2509ms,true
...........58..9...83..1.65..7..........6..13432.1...9.....8....5..2..3....6.54..,Rule Based Solver,2.5242ms,true
...........58..9...83..1.65..7..........6..13432.1...9.....8....5..2..3....6.54..,Constraint Programming Solver,13.8616ms,true
...........58..9...83..1.65..7..........6..13432.1...9.....8....5..2..3....6.54..,"Stochastic (T=10000, cooling=0.999)",3.5436112s,true
...........6...789.8....2.6.2..15..8...2......6..9.3.4..45.3..1...8.1...5......6.,Brute Force Solver,78.61293s,true
...........6...789.8....2.6.2..15..8...2......6..9.3.4..45.3..1...8.1...5......6.,Rule Based Solver,2.5147ms,true
...........6...789.8....2.6.2..15..8...2......6..9.3.4..45.3..1...8.1...5......6.,Constraint Programming Solver,26.6776ms,true
...........6...789.8....2.6.2..15..8...2......6..9.3.4..45.3..1...8.1...5......6.,"Stochastic (T=10000, cooling=0.999)",4.0877598s,true
...........6..21...38.7..5............9..6.2832.....41.......3...2.31..47...592..,Brute Force Solver,149.3724ms,true
...........6..21...38.7..5............9..6.2832.....41.......3...2.31..47...592..,Rule Based Solver,2.4948ms,true
...........6..21...38.7..5............9..6.2832.....41.......3...2.31..47...592..,Constraint Programming Solver,13.7735ms,true
...........6..21...38.7..5............9..6.2832.....41.......3...2.31..47...592..,"Stochastic (T=10000, cooling=0.999)",4.4113501s,true
...........6..273....841..6.27..9.........271.53..6..93......6...2..7......13....,Brute Force Solver,279.1249151s,true
...........6..273....841..6.27..9.........271.53..6..93......6...2..7......13....,Rule Based Solver,3.5198ms,true
...........6..273....841..6.27..9.........271.53..6..93......6...2..7......13....,Constraint Programming Solver,31.6551ms,true
...........6..273....841..6.27..9.........271.53..6..93......6...2..7......13....,"Stochastic (T=10000, cooling=0.999)",2.7439955s,true
...........6..4....315..7.2.....5........1..4.8.72..6.......1..6...5.3...5287...6,Brute Force Solver,149.4676ms,true
...........6..4....315..7.2.....5........1..4.8.72..6.......1..6...5.3...5287...6,Rule Based Solver,2.5561ms,true
...........6..4....315..7.2.....5........1..4.8.72..6.......1..6...5.3...5287...6,Constraint Programming Solver,13.8818ms,true
...........6..4....315..7.2.....5........1..4.8.72..6.......1..6...5.3...5287...6,"Stochastic (T=10000, cooling=0.999)",13.3927198s,true
...........6.8.....1...4.3...876..1.2.....5.3..3..5..89.785........7...4....1.2..,Brute Force Solver,4.7652685s,true
...........6.8.....1...4.3...876..1.2.....5.3..3..5..89.785........7...4....1.2..,Rule Based Solver,2.5833ms,true
...........6.8.....1...4.3...876..1.2.....5.3..3..5..89.785........7...4....1.2..,Constraint Programming Solver,25.1259ms,true
...........6.8.....1...4.3...876..1.2.....5.3..3..5..89.785........7...4....1.2..,"Stochastic (T=10000, cooling=0.999)",7.6520741s,true
...........62...89.9...7.4...8..457.523...........3...7..6.93....4.....11.5....2.,Brute Force Solver,149.288ms,true
...........62...89.9...7.4...8..457.523...........3...7..6.93....4.....11.5....2.,Rule Based Solver,2.7471ms,true
...........62...89.9...7.4...8..457.523...........3...7..6.93....4.....11.5....2.,Constraint Programming Solver,16.4758ms,true
...........62...89.9...7.4...8..457.523...........3...7..6.93....4.....11.5....2.,"Stochastic (T=10000, cooling=0.999)",3.2229726s,true
...........63..7895.27....6..5......2....54.......18.......8..........671936.7...,Brute Force Solver,163.0679ms,true
...........63..7895.27....6..5......2....54.......18.......8..........671936.7...,Rule Based Solver,2.7171ms,true
...........63..7895.27....6..5......2....54.......18.......8..........671936.7...,Constraint Programming Solver,14.0112ms,true
...........63..7895.27....6..5......2....54.......18.......8..........671936.7...,"Stochastic (T=10000, cooling=0.999)",4.8190913s,true
...........7..6...6.925.....3.......2...3.1.59..7.4....4...9.6..8....3.....1278..,Brute Force Solver,149.7012ms,true
...........7..6...6.925.....3.......2...3.1.59..7.4....4...9.6..8....3.....1278..,Rule Based Solver,2.5336ms,true
...........7..6...6.925.....3.......2...3.1.59..7.4....4...9.6..8....3.....1278..,Constraint Programming Solver,13.7868ms,true
...........7..6...6.925.....3.......2...3.1.59..7.4....4...9.6..8....3.....1278..,"Stochastic (T=10000, cooling=0.999)",4.6884054s,true
...........7..9..4.958.4.16.........3.9.6..2.6.8.5.17............6.78......1...69,Brute Force Solver,147.2884ms,true
...........7..9..4.958.4.16.........3.9.6..2.6.8.5.17............6.78......1...69,Rule Based Solver,2.8552ms,true
...........7..9..4.958.4.16.........3.9.6..2.6.8.5.17............6.78......1...69,Constraint Programming Solver,14.0473ms,true
...........7..9..4.958.4.16.........3.9.6..2.6.8.5.17............6.78......1...69,"Stochastic (T=10000, cooling=0.999)",3.4220381s,true
...........7..9..86..12...4..8.......79..3.......16972................514.3..5..6,Brute Force Solver,153.6353ms,true
...........7..9..86..12...4..8.......79..3.......16972................514.3..5..6,Rule Based Solver,2.6398ms,true
...........7..9..86..12...4..8.......79..3.......16972................514.3..5..6,Constraint Programming Solver,14.2785ms,true
...........7..9..86..12...4..8.......79..3.......16972................514.3..5..6,"Stochastic (T=10000, cooling=0.999)",2.5989702s,true
...........7.2..6.685..7..9...........9.1.6.327.4..1............4...8..6..17.6.54,Brute Force Solver,149.2051ms,true
...........7.2..6.685..7..9...........9.1.6.327.4..1............4...8..6..17.6.54,Rule Based Solver,2.5207ms,true
...........7.2..6.685..7..9...........9.1.6.327.4..1............4...8..6..17.6.54,Constraint Programming Solver,13.9556ms,true
...........7.2..6.685..7..9...........9.1.6.327.4..1............4...8..6..17.6.54,"Stochastic (T=10000, cooling=0.999)",4.6897129s,true
...........8....1.6...9.73......6...3.......2.2.4..579....15....3...7.2..72.68.9.,Brute Force Solver,7.6976658s,true
...........8....1.6...9.73......6...3.......2.2.4..579....15....3...7.2..72.68.9.,Rule Based Solver,2.8748ms,true
...........8....1.6...9.73......6...3.......2.2.4..579....15....3...7.2..72.68.9.,Constraint Programming Solver,27.2688ms,true
...........8....1.6...9.73......6...3.......2.2.4..579....15....3...7.2..72.68.9.,"Stochastic (T=10000, cooling=0.999)",7.7128715s,true
...........8.4...56...3.29..4...1.....1....89...25..34.............67.....65.9321,Brute Force Solver,148.8364ms,true
...........8.4...56...3.29..4...1.....1....89...25..34.............67.....65.9321,Rule Based Solver,2.4666ms,true
...........8.4...56...3.29..4...1.....1....89...25..34.............67.....65.9321,Constraint Programming Solver,14.0568ms,true
...........8.4...56...3.29..4...1.....1....89...25..34.............67.....65.9321,"Stochastic (T=10000, cooling=0.999)",7.0946731s,true
...........84...1.2....97438..9.5.7.1.......4.6.8.4..29435....6.2...15...........,Brute Force Solver,142.4843ms,true
...........84...1.2....97438..9.5.7.1.......4.6.8.4..29435....6.2...15...........,Rule Based Solver,4.3315ms,true
...........84...1.2....97438..9.5.7.1.......4.6.8.4..29435....6.2...15...........,Constraint Programming Solver,14.9404ms,true
...........84...1.2....97438..9.5.7.1.......4.6.8.4..29435....6.2...15...........,"Stochastic (T=10000, cooling=0.999)",8.7267979s,true
...........9....4.1...58.....68.3..........84.4..25..7.6...2....2.9.4.6..7....9.1,Brute Force Solver,149.9751ms,true
...........9....4.1...58.....68.3..........84.4..25..7.6...2....2.9.4.6..7....9.1,Rule Based Solver,2.6381ms,true
...........9....4.1...58.....68.3..........84.4..25..7.6...2....2.9.4.6..7....9.1,Constraint Programming Solver,13.9954ms,true
...........9....4.1...58.....68.3..........84.4..25..7.6...2....2.9.4.6..7....9.1,"Stochastic (T=10000, cooling=0.999)",3.7863254s,true
...........9...86537..8.2..43.6...2....374....5...2.38..4.9..76896...5...........,Brute Force Solver,148.9539ms,true
...........9...86537..8.2..43.6...2....374....5...2.38..4.9..76896...5...........,Rule Based Solver,5.5696ms,true
...........9...86537..8.2..43.6...2....374....5...2.38..4.9..76896...5...........,Constraint Programming Solver,17.3671ms,true
...........9...86537..8.2..43.6...2....374....5...2.38..4.9..76896...5...........,"Stochastic (T=10000, cooling=0.999)",6.6368375s,true
...........9..3.8..37..2.61........21.4......5....867......9.......1.4.3.4385....,Brute Force Solver,2.4714894s,true
...........9..3.8..37..2.61........21.4......5....867......9.......1.4.3.4385....,Rule Based Solver,4.8453ms,true
...........9..3.8..37..2.61........21.4......5....867......9.......1.4.3.4385....,Constraint Programming Solver,28.4162ms,true
...........9..3.8..37..2.61........21.4......5....867......9.......1.4.3.4385....,"Stochastic (T=10000, cooling=0.999)",5.0468506s,true
...........9..4..2..1.5783...7.......8....52...49....8..........12..6.9....23.657,Brute Force Solver,156.4092ms,true
...........9..4..2..1.5783...7.......8....52...49....8..........12..6.9....23.657,Rule Based Solver,5.5926ms,true
...........9..4..2..1.5783...7.......8....52...49....8..........12..6.9....23.657,Constraint Programming Solver,14.9113ms,true
...........9..4..2..1.5783...7.......8....52...49....8..........12..6.9....23.657,"Stochastic (T=10000, cooling=0.999)",2.5012012s,true
...........9..4..77.6..98.11........2..9...3..9.....24....47.5....182..3..7...2..,Brute Force Solver,2.1360377s,true
...........9..4..77.6..98.11........2..9...3..9.....24....47.5....182..3..7...2..,Rule Based Solver,2.5971ms,true
...........9..4..77.6..98.11........2..9...3..9.....24....47.5....182..3..7...2..,Constraint Programming Solver,25.8301ms,true
...........9..4..77.6..98.11........2..9...3..9.....24....47.5....182..3..7...2..,"Stochastic (T=10000, cooling=0.999)",1.9932088s,true
...........9..5.7...2.49.8.....9.....54..2....38...5.1...3....6.6..7..1434......7,Brute Force Solver,157.5387ms,true
...........9..5.7...2.49.8.....9.....54..2....38...5.1...3....6.6..7..1434......7,Rule Based Solver,4.606ms,true
...........9..5.7...2.49.8.....9.....54..2....38...5.1...3....6.6..7..1434......7,Constraint Programming Solver,14.3403ms,true
...........9..5.7...2.49.8.....9.....54..2....38...5.1...3....6.6..7..1434......7,"Stochastic (T=10000, cooling=0.999)",5.790082s,true
...........9.4..82..86.741.........4.4......7.76..9..15...........9.1...3...2865.,Brute Force Solver,153.4449ms,true
...........9.4..82..86.741.........4.4......7.76..9..15...........9.1...3...2865.,Rule Based Solver,2.7916ms,true
...........9.4..82..86.741.........4.4......7.76..9..15...........9.1...3...2865.,Constraint Programming Solver,14.1372ms,true
...........9.4..82..86.741.........4.4......7.76..9..15...........9.1...3...2865.,"Stochastic (T=10000, cooling=0.999)",4.972861s,true
...........96432.771......6.........1....28..45...93..........3....8.9...6.521...,Brute Force Solver,41.9783684s,true
...........96432.771......6.........1....28..45...93..........3....8.9...6.521...,Rule Based Solver,4.8914ms,true
...........96432.771......6.........1....28..45...93..........3....8.9...6.521...,Constraint Programming Solver,31.8113ms,true
...........96432.771......6.........1....28..45...93..........3....8.9...6.521...,"Stochastic (T=10000, cooling=0.999)",6.4644483s,true
..........1..6..85...82..79..........7..81.6.5.4..92.............7..5.91.81.4....,Brute Force Solver,1.0782019s,true
..........1..6..85...82..79..........7..81.6.5.4..92.............7..5.91.81.4....,Rule Based Solver,2.5804ms,true
..........1..6..85...82..79..........7..81.6.5.4..92.............7..5.91.81.4....,Constraint Programming Solver,21.4258ms,true
..........1..6..85...82..79..........7..81.6.5.4..92.............7..5.91.81.4....,"Stochastic (T=10000, cooling=0.999)",4.6488192s,true
..........1..7..36...86..5.............9.6..74..5..861..5......37...4...2....7185,Brute Force Solver,166.4277ms,true
..........1..7..36...86..5.............9.6..74..5..861..5......37...4...2....7185,Rule Based Solver,4.9696ms,true
..........1..7..36...86..5.............9.6..74..5..861..5......37...4...2....7185,Constraint Programming Solver,14.7013ms,true
..........1..7..36...86..5.............9.6..74..5..861..5......37...4...2....7185,"Stochastic (T=10000, cooling=0.999)",3.406327s,true
..........13.68...586.9..3.........2.......83.2.5..7.4...........14.6...4.7.35.1.,Brute Force Solver,1729.194053s,true
..........13.68...586.9..3.........2.......83.2.5..7.4...........14.6...4.7.35.1.,Rule Based Solver,6.3074ms,true
..........13.68...586.9..3.........2.......83.2.5..7.4...........14.6...4.7.35.1.,Constraint Programming Solver,50.1801ms,true
..........13.68...586.9..3.........2.......83.2.5..7.4...........14.6...4.7.35.1.,"Stochastic (T=10000, cooling=0.999)",3.8385502s,true
..........14.9.56...7542..1...96..3..2.....1..9..17...1..7849...78.2.34..........,Brute Force Solver,142.8976ms,true
..........14.9.56...7542..1...96..3..2.....1..9..17...1..7849...78.2.34..........,Rule Based Solver,6.7126ms,true
..........14.9.56...7542..1...96..3..2.....1..9..17...1..7849...78.2.34..........,Constraint Programming Solver,13.8808ms,true
..........14.9.56...7542..1...96..3..2.....1..9..17...1..7849...78.2.34..........,"Stochastic (T=10000, cooling=0.999)",3.8286928s,true
..........178.9....5....492..............78...2..3.51..........8..745.2..39..6..5,Brute Force Solver,162.2021ms,true
..........178.9....5....492..............78...2..3.51..........8..745.2..39..6..5,Rule Based Solver,2.5503ms,true
..........178.9....5....492..............78...2..3.51..........8..745.2..39..6..5,Constraint Programming Solver,14.2253ms,true
..........178.9....5....492..............78...2..3.51..........8..745.2..39..6..5,"Stochastic (T=10000, cooling=0.999)",3.5264888s,true
..........2...18.49.6.4...2..16.892..6.....7..792.56..5...3.1.76.21...3..........,Brute Force Solver,144.8456ms,true
..........2...18.49.6.4...2..16.892..6.....7..792.56..5...3.1.76.21...3..........,Rule Based Solver,2.566ms,true
..........2...18.49.6.4...2..16.892..6.....7..792.56..5...3.1.76.21...3..........,Constraint Programming Solver,13.9662ms,true
..........2...18.49.6.4...2..16.892..6.....7..792.56..5...3.1.76.21...3..........,"Stochastic (T=10000, cooling=0.999)",2.3916474s,true
..........2...953.....8521..6..4....1.2....4...529.3...........8....3.74...6...51,Brute Force Solver,161.3731ms,true
..........2...953.....8521..6..4....1.2....4...529.3...........8....3.74...6...51,Rule Based Solver,2.541ms,true
